Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
8/11/2023,8/11/2023,8/14/2023,MRVL,MRVL 8/25/2023 Put $60.00,STO,3,$4.57,"$1,370.97"
8/7/2023,8/7/2023,8/8/2023,MRVL,MRVL 8/11/2023 Put $61.00,STO,3,$0.48,$143.98
8/7/2023,8/7/2023,8/8/2023,AMD,AMD 8/11/2023 Call $120.00,STO,1,$1.16,$115.98
8/4/2023,8/4/2023,8/7/2023,AMD,Option Expiration for AMD 8/4/2023 Put $106.00,OEXP,2,,
8/4/2023,8/4/2023,8/7/2023,AMD,Option Expiration for AMD 8/4/2023 Call $121.00,OEXP,1,,
8/4/2023,8/4/2023,8/7/2023,SPCE,Option Expiration for SPCE 8/4/2023 Call $4.50,OEXP,10,,
8/4/2023,8/4/2023,8/7/2023,INTC,INTC 8/4/2023 Put $35.00,BTC,1,$0.06,($6.00)
8/4/2023,8/4/2023,8/7/2023,INTC,INTC 8/4/2023 Put $35.00,BTC,1,$0.06,($6.00)
8/4/2023,8/4/2023,8/7/2023,INTC,INTC 8/11/2023 Put $34.00,STO,1,$0.24,$23.98
8/4/2023,8/4/2023,8/7/2023,INTC,INTC 8/11/2023 Put $34.00,STO,1,$0.24,$23.98
8/4/2023,8/4/2023,8/7/2023,INTC,INTC 8/4/2023 Put $35.00,BTC,3,$0.06,($18.00)
8/4/2023,8/4/2023,8/7/2023,INTC,INTC 8/11/2023 Put $34.00,STO,2,$0.24,$47.98
8/4/2023,8/4/2023,8/7/2023,INTC,INTC 8/11/2023 Put $34.00,STO,1,$0.24,$23.98
8/1/2023,8/1/2023,8/2/2023,,ACH Deposit,ACH,,,"$1,000.00"
7/31/2023,7/31/2023,7/31/2023,,Interest Payment,INT,,,$4.92
7/31/2023,7/31/2023,8/1/2023,AMD,AMD 8/4/2023 Call $121.00,STO,1,$1.96,$195.98
7/31/2023,7/31/2023,8/1/2023,INTC,INTC 8/4/2023 Put $35.00,STO,4,$0.19,$75.98
7/31/2023,7/31/2023,8/1/2023,INTC,INTC 8/4/2023 Put $35.00,STO,1,$0.19,$18.98
7/28/2023,7/28/2023,7/31/2023,AMD,Option Expiration for AMD 7/28/2023 Call $117.00,OEXP,1,,
7/28/2023,7/28/2023,7/31/2023,INTC,INTC 7/28/2023 Call $35.50,OASGN,5,,
7/28/2023,7/28/2023,8/1/2023,INTC,"Intel
CUSIP: 458140100
5 INTC Options Assigned",Sell,500,$35.50,"$17,749.78"
7/28/2023,7/28/2023,7/31/2023,AMD,AMD 7/28/2023 Put $113.00,BTC,1,$0.20,($20.00)
7/28/2023,7/28/2023,7/31/2023,AMD,AMD 7/28/2023 Put $113.00,BTC,1,$0.20,($20.00)
7/28/2023,7/28/2023,7/31/2023,AMD,AMD 8/4/2023 Put $106.00,STO,1,$1.45,$144.98
7/28/2023,7/28/2023,7/31/2023,AMD,AMD 8/4/2023 Put $106.00,STO,1,$1.45,$144.98
7/28/2023,7/28/2023,7/31/2023,SPCE,SPCE 8/4/2023 Call $4.50,STO,10,$0.08,$79.97
7/28/2023,7/28/2023,7/31/2023,SPCE,SPCE 7/28/2023 Call $4.00,BTC,10,$0.02,($20.00)
7/28/2023,7/28/2023,7/31/2023,NET,NET 8/11/2023 Call $56.00,STO,1,$11.93,"$1,192.98"
7/28/2023,7/28/2023,7/31/2023,NET,NET 7/28/2023 Call $55.00,BTC,1,$11.73,"($1,173.00)"
7/26/2023,7/26/2023,7/26/2023,CSCO,Cash Div: R/D 2023-07-06 P/D 2023-07-26 - 1.041383 shares at 0.39,CDIV,,,$0.41
7/26/2023,7/26/2023,7/26/2023,MRVL,Cash Div: R/D 2023-07-07 P/D 2023-07-26 - 300 shares at 0.06,CDIV,,,$18.00
7/26/2023,7/26/2023,7/27/2023,SPCE,SPCE 7/28/2023 Call $4.00,STO,1,$0.03,$2.98
7/26/2023,7/26/2023,7/27/2023,SPCE,SPCE 7/28/2023 Call $4.00,STO,1,$0.03,$2.98
7/26/2023,7/26/2023,7/27/2023,SPCE,SPCE 7/28/2023 Call $4.00,STO,3,$0.03,$8.98
7/26/2023,7/26/2023,7/27/2023,SPCE,SPCE 7/28/2023 Call $4.00,STO,5,$0.03,$14.98
7/25/2023,7/25/2023,7/26/2023,AMD,AMD 7/28/2023 Call $117.00,STO,1,$0.67,$66.98
7/21/2023,7/21/2023,7/24/2023,AMD,Option Expiration for AMD 7/21/2023 Call $119.00,OEXP,1,,
7/21/2023,7/21/2023,7/24/2023,INTC,INTC 7/28/2023 Call $35.50,STO,5,$0.70,$349.98
7/21/2023,7/21/2023,7/24/2023,INTC,INTC 7/21/2023 Call $34.50,BTC,5,$0.03,($15.00)
7/21/2023,7/21/2023,7/24/2023,AMD,AMD 7/21/2023 Put $114.00,BTC,1,$2.97,($297.00)
7/21/2023,7/21/2023,7/24/2023,AMD,AMD 7/28/2023 Put $113.00,STO,1,$3.86,$385.98
7/21/2023,7/21/2023,7/24/2023,AMD,AMD 7/28/2023 Put $113.00,STO,1,$3.86,$385.98
7/21/2023,7/21/2023,7/24/2023,AMD,AMD 7/21/2023 Put $114.00,BTC,1,$2.97,($297.00)
7/20/2023,7/20/2023,7/20/2023,,Aggregated Margin Rate,MINT,,,($16.30)
7/18/2023,7/18/2023,7/19/2023,AMD,AMD 7/21/2023 Put $114.00,STO,2,$0.57,$113.98
7/17/2023,7/17/2023,7/18/2023,AMD,AMD 7/21/2023 Call $119.00,STO,1,$1.68,$167.98
7/17/2023,7/17/2023,7/18/2023,INTC,INTC 7/21/2023 Call $34.50,STO,5,$0.38,$189.98
7/14/2023,7/14/2023,7/17/2023,MRVL,MRVL 7/14/2023 Call $62.00,OASGN,3,,
7/14/2023,7/14/2023,7/17/2023,AMD,Option Expiration for AMD 7/14/2023 Call $117.00,OEXP,1,,
7/14/2023,7/14/2023,7/18/2023,MRVL,"Marvell Technology
CUSIP: 573874104
3 MRVL Options Assigned",Sell,300,$62.00,"$18,599.81"
7/14/2023,7/14/2023,7/17/2023,INTC,Option Expiration for INTC 7/14/2023 Call $34.00,OEXP,5,,
7/14/2023,7/14/2023,7/17/2023,SPCE,Option Expiration for SPCE 7/14/2023 Call $4.50,OEXP,10,,
7/14/2023,7/14/2023,7/17/2023,,ACH Deposit,ACH,,,"$3,000.00"
7/13/2023,7/13/2023,7/13/2023,,Gold Fee,GOLD,,,($5.00)
7/12/2023,7/12/2023,7/13/2023,AMD,AMD 7/14/2023 Call $117.00,STO,1,$0.54,$53.98
7/11/2023,7/11/2023,7/12/2023,INTC,INTC 7/14/2023 Call $34.00,STO,5,$0.11,$54.98
7/10/2023,7/10/2023,7/11/2023,MRVL,MRVL 7/14/2023 Call $62.00,STO,1,$0.36,$35.98
7/10/2023,7/10/2023,7/11/2023,MRVL,MRVL 7/14/2023 Call $62.00,STO,1,$0.36,$35.98
7/10/2023,7/10/2023,7/11/2023,MRVL,MRVL 7/14/2023 Call $62.00,STO,1,$0.36,$35.98
7/7/2023,7/7/2023,7/10/2023,AMD,Option Expiration for AMD 7/7/2023 Call $117.00,OEXP,1,,
7/7/2023,7/7/2023,7/10/2023,INTC,Option Expiration for INTC 7/7/2023 Call $34.00,OEXP,5,,
7/7/2023,7/7/2023,7/10/2023,MRVL,Option Expiration for MRVL 7/7/2023 Call $62.00,OEXP,3,,
7/7/2023,7/7/2023,7/10/2023,NET,NET 7/7/2023 Call $53.00,BTC,1,$9.68,($968.00)
7/7/2023,7/7/2023,7/10/2023,NET,NET 7/28/2023 Call $55.00,STO,1,$8.48,$847.98
7/5/2023,7/5/2023,7/6/2023,SPCE,SPCE 7/14/2023 Call $4.50,STO,10,$0.08,$79.97
7/3/2023,7/3/2023,7/5/2023,MRVL,MRVL 7/7/2023 Call $62.00,STO,1,$0.47,$46.98
7/3/2023,7/3/2023,7/5/2023,MRVL,MRVL 7/7/2023 Call $62.00,STO,1,$0.47,$46.98
7/3/2023,7/3/2023,7/5/2023,MRVL,MRVL 7/7/2023 Call $62.00,STO,1,$0.47,$46.98
7/3/2023,7/3/2023,7/5/2023,AMD,AMD 7/7/2023 Call $117.00,STO,1,$1.05,$104.98
6/30/2023,6/30/2023,7/3/2023,SPCE,SPCE 6/30/2023 Put $4.00,OASGN,10,,
6/30/2023,6/30/2023,7/5/2023,SPCE,"Virgin Galactic Holdings
CUSIP: 92766K106
10 SPCE Options Assigned",Buy,1000,$4.00,"($4,000.00)"
6/30/2023,6/30/2023,7/3/2023,MRVL,Option Expiration for MRVL 6/30/2023 Call $60.00,OEXP,3,,
6/30/2023,6/30/2023,6/30/2023,NVDA,Cash Div: R/D 2023-06-08 P/D 2023-06-30 - 28.038072 shares at 0.04,CDIV,,,$1.12
6/30/2023,6/30/2023,6/30/2023,,Interest Payment,INT,,,$14.15
6/30/2023,6/30/2023,7/3/2023,,ACH Deposit,ACH,,,"$2,000.00"
6/30/2023,6/30/2023,7/3/2023,INTC,INTC 7/7/2023 Call $34.00,STO,1,$0.25,$24.98
6/30/2023,6/30/2023,7/3/2023,INTC,INTC 7/7/2023 Call $34.00,STO,3,$0.25,$74.98
6/30/2023,6/30/2023,7/3/2023,INTC,INTC 7/7/2023 Call $34.00,STO,1,$0.25,$24.98
6/30/2023,6/30/2023,7/5/2023,INTC,"Intel
CUSIP: 458140100",Buy,500,$33.34,"($16,667.50)"
6/30/2023,6/30/2023,7/3/2023,INTC,INTC 6/30/2023 Put $32.50,BTC,5,$0.01,($5.00)
6/29/2023,6/29/2023,6/30/2023,SPCE,SPCE 6/30/2023 Put $4.00,STO,3,$0.05,$14.98
6/29/2023,6/29/2023,6/30/2023,SPCE,SPCE 6/30/2023 Put $4.00,STO,1,$0.05,$4.98
6/29/2023,6/29/2023,6/30/2023,SPCE,SPCE 6/30/2023 Put $4.00,STO,1,$0.05,$4.98
6/29/2023,6/29/2023,6/30/2023,SPCE,SPCE 6/30/2023 Put $4.00,STO,1,$0.05,$4.98
6/29/2023,6/29/2023,6/30/2023,SPCE,SPCE 6/30/2023 Put $4.00,STO,4,$0.05,$19.98
6/26/2023,6/26/2023,6/27/2023,INTC,INTC 6/30/2023 Put $32.50,STO,1,$0.24,$23.98
6/26/2023,6/26/2023,6/27/2023,INTC,INTC 6/30/2023 Put $32.50,STO,4,$0.24,$95.98
6/26/2023,6/26/2023,6/27/2023,MRVL,MRVL 6/30/2023 Call $60.00,STO,3,$0.44,$131.98
6/23/2023,6/23/2023,6/26/2023,MRVL,MRVL 6/23/2023 Put $58.00,OASGN,3,,
6/23/2023,6/23/2023,6/27/2023,MRVL,"Marvell Technology
CUSIP: 573874104
3 MRVL Options Assigned",Buy,300,$58.00,"($17,400.00)"
6/23/2023,6/23/2023,6/26/2023,INTC,Option Expiration for INTC 6/23/2023 Put $33.00,OEXP,5,,
6/23/2023,6/23/2023,6/26/2023,AMD,AMD 6/23/2023 Put $115.00,OASGN,1,,
6/23/2023,6/23/2023,6/27/2023,AMD,"AMD
CUSIP: 007903107
1 AMD Option Assigned",Buy,100,$115.00,"($11,500.00)"
6/23/2023,6/23/2023,6/26/2023,NET,NET 7/7/2023 Call $53.00,STO,1,$11.25,"$1,124.98"
6/23/2023,6/23/2023,6/26/2023,NET,NET 6/23/2023 Call $51.00,BTC,1,$13.05,"($1,305.00)"
6/20/2023,6/20/2023,6/20/2023,,Interest Payment,INT,,,$46.12
6/20/2023,6/20/2023,6/21/2023,AMD,AMD 6/23/2023 Put $115.00,STO,1,$0.86,$85.98
6/20/2023,6/20/2023,6/21/2023,MRVL,MRVL 6/23/2023 Put $58.00,STO,1,$0.17,$16.98
6/20/2023,6/20/2023,6/21/2023,MRVL,MRVL 6/23/2023 Put $58.00,STO,2,$0.17,$33.98
6/20/2023,6/20/2023,6/21/2023,INTC,INTC 6/23/2023 Put $33.00,STO,5,$0.21,$104.98
6/20/2023,6/20/2023,6/20/2023,,Aggregated Margin Rate,MINT,,,($0.46)
6/20/2023,6/20/2023,6/21/2023,,ACH Withdrawal,ACH,,,"($20,000.00)"
6/16/2023,6/16/2023,6/20/2023,SPCE,SPCE 6/16/2023 Call $4.50,OASGN,10,,
6/16/2023,6/16/2023,6/21/2023,SPCE,"Virgin Galactic Holdings
CUSIP: 92766K106
10 SPCE Options Assigned",Sell,1000,$4.50,"$4,499.81"
6/16/2023,6/16/2023,6/20/2023,MRVL,Option Expiration for MRVL 6/16/2023 Put $60.00,OEXP,3,,
6/16/2023,6/16/2023,6/20/2023,TSLA,Option Expiration for TSLA 6/16/2023 Put $242.50,OEXP,1,,
6/15/2023,6/15/2023,6/16/2023,TSLA,TSLA 6/16/2023 Put $242.50,STO,1,$0.40,$39.98
6/15/2023,6/15/2023,6/16/2023,,ACH Deposit,ACH,,,"$3,200.00"
6/14/2023,6/14/2023,6/15/2023,MRVL,MRVL 6/16/2023 Put $60.00,STO,2,$0.24,$47.98
6/14/2023,6/14/2023,6/15/2023,MRVL,MRVL 6/16/2023 Put $60.00,STO,1,$0.24,$23.98
6/13/2023,6/13/2023,6/13/2023,,Gold Fee,GOLD,,,($5.00)
6/12/2023,6/12/2023,6/13/2023,SPCE,SPCE 6/16/2023 Call $4.50,STO,10,$0.10,$99.97
6/9/2023,6/9/2023,6/12/2023,INTC,Option Expiration for INTC 6/9/2023 Put $30.00,OEXP,5,,
6/9/2023,6/9/2023,6/12/2023,SPCE,Option Expiration for SPCE 6/9/2023 Put $4.00,OEXP,10,,
6/9/2023,6/9/2023,6/12/2023,MRVL,Option Expiration for MRVL 6/9/2023 Put $56.00,OEXP,3,,
6/9/2023,6/9/2023,6/9/2023,PFE,Cash Div: R/D 2023-05-12 P/D 2023-06-09 - 0.996808 shares at 0.41,CDIV,,,$0.41
6/9/2023,6/9/2023,6/13/2023,SPCE,"Virgin Galactic Holdings
CUSIP: 92766K106",Buy,1000,$4.04,"($4,040.00)"
6/8/2023,6/8/2023,6/8/2023,MSFT,Cash Div: R/D 2023-05-18 P/D 2023-06-08 - 7.071625 shares at 0.68,CDIV,,,$4.81
6/5/2023,6/5/2023,6/6/2023,MRVL,MRVL 6/9/2023 Put $56.00,STO,1,$0.35,$34.98
6/5/2023,6/5/2023,6/6/2023,MRVL,MRVL 6/9/2023 Put $56.00,STO,1,$0.35,$34.98
6/5/2023,6/5/2023,6/6/2023,MRVL,MRVL 6/9/2023 Put $56.00,STO,1,$0.35,$34.98
6/5/2023,6/5/2023,6/6/2023,INTC,INTC 6/9/2023 Put $30.00,STO,5,$0.36,$179.98
6/2/2023,6/2/2023,6/5/2023,TSLA,Option Expiration for TSLA 6/2/2023 Put $187.50,OEXP,1,,
6/2/2023,6/2/2023,6/5/2023,AMD,Option Expiration for AMD 6/2/2023 Put $114.00,OEXP,1,,
6/2/2023,6/2/2023,6/5/2023,INTC,INTC 6/2/2023 Call $31.00,OASGN,5,,
6/2/2023,6/2/2023,6/6/2023,INTC,"Intel
CUSIP: 458140100
5 INTC Options Assigned",Sell,500,$31.00,"$15,499.80"
6/2/2023,6/2/2023,6/5/2023,MRVL,Option Expiration for MRVL 6/2/2023 Put $58.00,OEXP,1,,
6/2/2023,6/2/2023,6/5/2023,SPCE,SPCE 6/2/2023 Put $4.50,BTC,10,$0.68,($680.00)
6/2/2023,6/2/2023,6/5/2023,SPCE,SPCE 6/9/2023 Put $4.00,STO,10,$0.30,$299.97
6/1/2023,6/1/2023,6/1/2023,INTC,Cash Div: R/D 2023-05-07 P/D 2023-06-01 - 500 shares at 0.125,CDIV,,,$62.50
5/31/2023,5/31/2023,5/31/2023,,Interest Payment,INT,,,$13.42
5/31/2023,5/31/2023,6/1/2023,MRVL,MRVL 6/2/2023 Put $58.00,STO,1,$0.56,$55.98
5/31/2023,5/31/2023,6/1/2023,AMD,AMD 6/2/2023 Put $114.00,STO,1,$0.45,$44.98
5/31/2023,5/31/2023,6/1/2023,TSLA,TSLA 6/2/2023 Put $187.50,STO,1,$1.14,$113.98
5/30/2023,5/30/2023,5/31/2023,INTC,INTC 6/2/2023 Call $31.00,STO,5,$0.23,$114.98
5/26/2023,5/26/2023,5/30/2023,TSLA,TSLA 5/26/2023 Call $182.50,OASGN,1,,
5/26/2023,5/26/2023,5/31/2023,TSLA,"Tesla
CUSIP: 88160R101
1 TSLA Option Assigned",Sell,100,$182.50,"$18,249.84"
5/26/2023,5/26/2023,5/30/2023,SPCE,SPCE 5/26/2023 Put $4.50,BTC,10,$1.07,"($1,070.00)"
5/26/2023,5/26/2023,5/30/2023,SPCE,SPCE 6/2/2023 Put $4.50,STO,10,$1.09,"$1,089.97"
5/26/2023,5/26/2023,5/30/2023,MRVL,MRVL 5/26/2023 Put $42.00,BTC,3,$0.01,($3.00)
5/26/2023,5/26/2023,5/30/2023,INTC,INTC 5/26/2023 Call $31.00,BTC,1,$0.01,($1.00)
5/26/2023,5/26/2023,5/30/2023,INTC,INTC 5/26/2023 Call $31.00,BTC,4,$0.01,($4.00)
5/24/2023,5/24/2023,5/24/2023,SIRI,Manufactured Div: R/D 2023-05-05 P/D 2023-05-24 - 3 shares at 0.0242,MDIV,,,$0.07
5/24/2023,5/24/2023,5/25/2023,MRVL,MRVL 5/26/2023 Put $42.00,STO,3,$0.43,$128.98
5/23/2023,5/23/2023,5/24/2023,SPCE,SPCE 5/26/2023 Put $4.50,STO,10,$0.11,$109.97
5/22/2023,5/22/2023,5/23/2023,INTC,INTC 5/26/2023 Call $31.00,STO,5,$0.23,$114.98
5/22/2023,5/22/2023,5/22/2023,,Aggregated Margin Rate,MINT,,,($38.76)
5/19/2023,5/19/2023,5/22/2023,INTC,Option Expiration for INTC 5/19/2023 Call $30.50,OEXP,5,,
5/19/2023,5/19/2023,5/22/2023,SPCE,Option Expiration for SPCE 5/19/2023 Put $4.00,OEXP,10,,
5/19/2023,5/19/2023,5/22/2023,AMD,AMD 5/19/2023 Call $98.00,OASGN,1,,
5/19/2023,5/19/2023,5/23/2023,AMD,"AMD
CUSIP: 007903107
1 AMD Option Assigned",Sell,100,$98.00,"$9,799.91"
5/19/2023,5/19/2023,5/22/2023,MRVL,MRVL 5/19/2023 Call $42.50,OASGN,3,,
5/19/2023,5/19/2023,5/23/2023,MRVL,"Marvell Technology
CUSIP: 573874104
3 MRVL Options Assigned",Sell,300,$42.50,"$12,749.85"
5/19/2023,5/19/2023,5/23/2023,AMD,"AMD
CUSIP: 007903107",Sell,1,$105.36,$105.37
5/19/2023,5/19/2023,5/22/2023,NET,NET 6/23/2023 Call $51.00,STO,1,$9.21,$920.98
5/19/2023,5/19/2023,5/22/2023,NET,NET 5/19/2023 Call $50.00,BTC,1,$8.79,($879.00)
5/19/2023,5/19/2023,5/22/2023,TSLA,TSLA 5/26/2023 Call $182.50,STO,1,$3.26,$325.98
5/19/2023,5/19/2023,5/22/2023,TSLA,TSLA 5/19/2023 Call $177.50,BTC,1,$2.69,($269.00)
5/18/2023,5/18/2023,5/18/2023,AAPL,Cash Div: R/D 2023-05-15 P/D 2023-05-18 - 12.114505 shares at 0.24,CDIV,,,$2.91
5/15/2023,5/15/2023,5/15/2023,,ACH Deposit,ACH,,,"$2,500.00"
5/15/2023,5/15/2023,5/16/2023,TSLA,TSLA 5/19/2023 Call $177.50,STO,1,$0.98,$97.98
5/15/2023,5/15/2023,5/16/2023,INTC,INTC 5/19/2023 Call $30.50,STO,5,$0.08,$39.98
5/15/2023,5/15/2023,5/16/2023,AMD,AMD 5/19/2023 Call $98.00,STO,1,$0.82,$81.98
5/15/2023,5/15/2023,5/16/2023,MRVL,MRVL 5/19/2023 Call $42.50,STO,3,$0.36,$107.98
5/15/2023,5/15/2023,5/16/2023,SPCE,SPCE 5/19/2023 Put $4.00,STO,2,$0.18,$35.98
5/15/2023,5/15/2023,5/16/2023,SPCE,SPCE 5/19/2023 Put $4.00,STO,2,$0.18,$35.98
5/15/2023,5/15/2023,5/16/2023,SPCE,SPCE 5/19/2023 Put $4.00,STO,2,$0.18,$35.98
5/15/2023,5/15/2023,5/16/2023,SPCE,SPCE 5/19/2023 Put $4.00,STO,2,$0.18,$35.98
5/15/2023,5/15/2023,5/16/2023,SPCE,SPCE 5/19/2023 Put $4.00,STO,2,$0.18,$35.98
5/15/2023,5/15/2023,5/15/2023,,Gold Fee,GOLD,,,($5.00)
5/12/2023,5/12/2023,5/15/2023,TSLA,Option Expiration for TSLA 5/12/2023 Call $180.00,OEXP,1,,
5/12/2023,5/12/2023,5/15/2023,AMD,Option Expiration for AMD 5/12/2023 Call $96.00,OEXP,1,,
5/12/2023,5/12/2023,5/15/2023,MRVL,Option Expiration for MRVL 5/12/2023 Call $42.00,OEXP,3,,
5/12/2023,5/12/2023,5/15/2023,SPCE,SPCE 5/12/2023 Call $4.00,OASGN,10,,
5/12/2023,5/12/2023,5/16/2023,SPCE,"Virgin Galactic Holdings
CUSIP: 92766K106
10 SPCE Options Assigned",Sell,1000,$4.00,"$3,999.81"
5/12/2023,5/12/2023,5/15/2023,NET,NET 5/12/2023 Call $49.00,BTC,1,$0.51,($51.00)
5/12/2023,5/12/2023,5/15/2023,NET,NET 5/19/2023 Call $50.00,STO,1,$1.16,$115.98
5/8/2023,5/8/2023,5/9/2023,NET,NET 5/12/2023 Call $49.00,STO,1,$0.29,$28.98
5/8/2023,5/8/2023,5/9/2023,TSLA,TSLA 5/12/2023 Call $180.00,STO,1,$0.89,$88.98
5/8/2023,5/8/2023,5/9/2023,AMD,AMD 5/12/2023 Call $96.00,STO,1,$1.10,$109.98
5/5/2023,5/5/2023,5/8/2023,AMD,Option Expiration for AMD 5/5/2023 Call $96.00,OEXP,1,,
5/5/2023,5/5/2023,5/8/2023,TSLA,Option Expiration for TSLA 5/5/2023 Call $172.50,OEXP,1,,
5/5/2023,5/5/2023,5/8/2023,INTC,Option Expiration for INTC 5/5/2023 Call $31.50,OEXP,5,,
5/5/2023,5/5/2023,5/8/2023,MRVL,MRVL 5/12/2023 Call $42.00,STO,3,$0.36,$107.98
5/5/2023,5/5/2023,5/8/2023,MRVL,MRVL 5/5/2023 Call $42.00,BTC,3,$0.01,($3.00)
5/5/2023,5/5/2023,5/8/2023,SPCE,SPCE 5/12/2023 Call $4.00,STO,2,$0.10,$19.98
5/5/2023,5/5/2023,5/8/2023,SPCE,SPCE 5/12/2023 Call $4.00,STO,1,$0.10,$9.98
5/5/2023,5/5/2023,5/8/2023,SPCE,SPCE 5/12/2023 Call $4.00,STO,1,$0.10,$9.98
5/5/2023,5/5/2023,5/8/2023,SPCE,SPCE 5/12/2023 Call $4.00,STO,5,$0.10,$49.98
5/5/2023,5/5/2023,5/8/2023,SPCE,SPCE 5/12/2023 Call $4.00,STO,1,$0.10,$9.98
5/3/2023,5/3/2023,5/4/2023,INTC,INTC 5/5/2023 Call $31.50,STO,5,$0.08,$39.98
5/2/2023,5/2/2023,5/3/2023,AMD,AMD 5/5/2023 Call $96.00,STO,1,$1.25,$124.98
5/1/2023,5/1/2023,5/2/2023,MRVL,MRVL 5/5/2023 Call $42.00,STO,3,$0.18,$53.98
4/28/2023,4/28/2023,5/1/2023,AMD,Option Expiration for AMD 4/28/2023 Call $92.00,OEXP,1,,
4/28/2023,4/28/2023,5/1/2023,NET,Option Expiration for NET 4/28/2023 Call $54.00,OEXP,1,,
4/28/2023,4/28/2023,5/1/2023,SPCE,Option Expiration for SPCE 4/28/2023 Call $4.00,OEXP,10,,
4/28/2023,4/28/2023,5/1/2023,INTC,Option Expiration for INTC 4/28/2023 Call $33.00,OEXP,5,,
4/28/2023,4/28/2023,5/1/2023,MRVL,Option Expiration for MRVL 4/28/2023 Call $40.50,OEXP,3,,
4/28/2023,4/28/2023,4/28/2023,,Interest Payment,INT,,,$6.96
4/28/2023,4/28/2023,5/1/2023,TSLA,TSLA 5/5/2023 Call $172.50,STO,1,$1.01,$100.98
4/26/2023,4/26/2023,4/26/2023,CSCO,Cash Div: R/D 2023-04-05 P/D 2023-04-26 - 1.041383 shares at 0.39,CDIV,,,$0.41
4/26/2023,4/26/2023,4/27/2023,SPCE,SPCE 4/28/2023 Call $4.00,STO,10,$0.02,$19.97
4/26/2023,4/26/2023,4/27/2023,MRVL,MRVL 4/28/2023 Call $40.50,STO,3,$0.05,$14.98
4/26/2023,4/26/2023,4/27/2023,AMD,AMD 4/28/2023 Call $92.00,STO,1,$0.14,$13.98
4/26/2023,4/26/2023,4/27/2023,INTC,INTC 4/28/2023 Call $33.00,STO,5,$0.12,$59.98
4/21/2023,4/21/2023,4/24/2023,MRVL,MRVL 4/21/2023 Put $41.00,OASGN,1,,
4/21/2023,4/21/2023,4/25/2023,MRVL,"Marvell Technology
CUSIP: 573874104
1 MRVL Option Assigned",Buy,100,$41.00,"($4,100.00)"
4/21/2023,4/21/2023,4/24/2023,AMD,AMD 4/21/2023 Put $92.00,OASGN,1,,
4/21/2023,4/21/2023,4/25/2023,AMD,"AMD
CUSIP: 007903107
1 AMD Option Assigned",Buy,100,$92.00,"($9,200.00)"
4/21/2023,4/21/2023,4/24/2023,MRVL,Option Expiration for MRVL 4/21/2023 Call $43.00,OEXP,2,,
4/21/2023,4/21/2023,4/24/2023,SPCE,Option Expiration for SPCE 4/21/2023 Call $4.00,OEXP,10,,
4/21/2023,4/21/2023,4/24/2023,INTC,Option Expiration for INTC 4/21/2023 Call $33.00,OEXP,5,,
4/21/2023,4/21/2023,4/24/2023,TSLA,TSLA 4/21/2023 Put $177.50,OASGN,1,,
4/21/2023,4/21/2023,4/25/2023,TSLA,"Tesla
CUSIP: 88160R101
1 TSLA Option Assigned",Buy,100,$177.50,"($17,750.00)"
4/19/2023,4/19/2023,4/20/2023,MRVL,MRVL 4/21/2023 Put $41.00,STO,1,$0.41,$40.98
4/18/2023,4/18/2023,4/19/2023,SPCE,SPCE 4/21/2023 Call $4.00,STO,8,$0.02,$15.97
4/18/2023,4/18/2023,4/19/2023,SPCE,SPCE 4/21/2023 Call $4.00,STO,2,$0.02,$3.98
4/18/2023,4/18/2023,4/19/2023,INTC,INTC 4/21/2023 Call $33.00,STO,1,$0.10,$9.98
4/18/2023,4/18/2023,4/19/2023,INTC,INTC 4/21/2023 Call $33.00,STO,2,$0.10,$19.98
4/18/2023,4/18/2023,4/19/2023,INTC,INTC 4/21/2023 Call $33.00,STO,1,$0.10,$9.98
4/18/2023,4/18/2023,4/19/2023,INTC,INTC 4/21/2023 Call $33.00,STO,1,$0.10,$9.98
4/18/2023,4/18/2023,4/19/2023,MRVL,MRVL 4/21/2023 Call $43.00,STO,2,$0.28,$55.98
4/18/2023,4/18/2023,4/18/2023,,ACH Deposit,ACH,,,"$2,250.00"
4/14/2023,4/14/2023,4/17/2023,SPCE,Option Expiration for SPCE 4/14/2023 Call $3.50,OEXP,10,,
4/14/2023,4/14/2023,4/17/2023,INTC,Option Expiration for INTC 4/14/2023 Call $33.00,OEXP,5,,
4/14/2023,4/14/2023,4/17/2023,AMD,AMD 4/14/2023 Put $93.00,BTC,1,$1.77,($177.00)
4/14/2023,4/14/2023,4/17/2023,AMD,AMD 4/21/2023 Put $92.00,STO,1,$2.21,$220.98
4/14/2023,4/14/2023,4/17/2023,TSLA,TSLA 4/14/2023 Put $187.50,BTC,1,$2.58,($258.00)
4/14/2023,4/14/2023,4/17/2023,TSLA,TSLA 4/21/2023 Put $177.50,STO,1,$4.38,$437.98
4/14/2023,4/14/2023,4/14/2023,,Gold Fee,GOLD,,,($5.00)
4/10/2023,4/10/2023,4/11/2023,INTC,INTC 4/14/2023 Call $33.00,STO,5,$0.30,$149.98
4/10/2023,4/10/2023,4/11/2023,SPCE,SPCE 4/14/2023 Call $3.50,STO,7,$0.10,$69.97
4/10/2023,4/10/2023,4/11/2023,SPCE,SPCE 4/14/2023 Call $3.50,STO,1,$0.10,$9.98
